Easy Peasy,零距離,屬於你,白晝將盡,Reset,門,絕對值,我反芻著你留下的寂寞,今天星期六,我就想你,好方法,一定會的,在地球爆炸之前,太陽雨,我要用黑魔法把你變成一隻魚,再一次就好,撲火的蝶,愚者,行星,騎士墜鬼馬,你討厭也沒關係,不能寂寞的人,我是你的Bling Bling,絕地花園,寂寞的大孩子,再說,我還沒有作好被打倒的準備,絕地花園,天真世界的叛徒－天真版,天真世界的叛徒－叛徒版,滯留鋒,Dear Star,平衡木,夏夜煙火,獨角仙的夢,不是因為天氣晴朗才愛你,你留給我的遺憾無以名狀,習慣不習慣,漂鳥,當我們的手勇敢緊握
又沒帶鑰匙出門去,難以忘記,每次遇見你 恰好的天氣,信仰荒蕪了城市以後,耳朵聽不見音樂 被塞滿垃圾郵件,關於我們該往哪走 總眾說紜紛,用一堂課 解一道題,我反芻著你留下的寂寞,今天星期六 Wake up without 鬧鐘,我想要你在我身邊,有沒有什麼好方法,熙來攘往人群中 向左向右或停留,冰河期如果都結束了 為什麼心不是熱的,雨聲淋濕了單人床,我要用黑魔法把你變成一隻魚,反覆地溫習 你留下的痕跡,白日裡的螢火蟲,旅行的起點不需要形狀,沒有行李 沒有目的 一個人旅行,二十八號 下午六點 尷尬的硬幣在口袋裡憋,我是怎麼了 又礙著你煩著你了,我們好像 都是那種不能寂寞的人,我是你的Bling Bling,你孤獨地冒險 任由寂寞氣味瀰漫盤旋,寂寞的大孩子 在薄暮中流浪,你總是喜歡一個人,鏡子裡 尷尬狼狽的我,你孤獨地冒險 任由寂寞氣味瀰漫盤旋,我沒有忘記怎麼善良,我沒有忘記怎麼善良,一連下了好幾天的雨,"Hey, my dear star",時光暫停 當你緩緩走近,怎麼結束一個夜不成眠的夏天,驕傲地活著 向晚的天空裡飛,不是因為天氣晴朗才愛你,你留給我的遺憾 無以名狀,日落的台北並不十分寧靜,他離開以後 已經換了幾個季,有沒有人懂我
找不到左邊的耳機,第一次牽起你,彷彿 早已 有了默契,人群掙扎索求 氧氣光線都衰弱,仇恨言論包圍 怎麼逃出生天,左不過熱度三分 右是太天真,用幾年青春 換不出我們的謎底,以為終究能消化成自由,正午的太陽有點兇 直穿我被窩,但距離怎麼看不清,把討厭的你給遺忘,下一個轉彎路口 通往貧瘠或肥沃,大洪水如果都退去了 為什麼我還窒息著,吵醒了光線微弱的房,有著炫彩斑斕的孔雀尾巴,總能讓我感到安心,照著鏡子看著自己認不得,只要心已經開始流浪,在無邊黑暗裡 直到耗盡勇氣,撕掉了又一頁日曆 蓋上又一碗泡麵,莫名其妙的沒有來由的 又要對我發脾氣了,不能一個人走在台北街頭的人,沒什麼道理 只想做你新男傭,你說你不怕黑 已習慣夜色相陪,未熄的星光陪著他說話,嚮往單純的生活,今天依然努力畫上笑容,你說你不怕黑 已習慣夜色相陪,只是學會在相信之前多一點武裝,只是學會在相信之前多一點武裝,月光照著你濕透的身影,喜歡看你笑容模樣,深邃的微笑是精靈的邀請,遺落的都已漸遠,身體還殘留著 土壤氣味,不是因為看見星星才想你,太過膚淺的青春 成了珍藏,燈火通明的巷弄裡 獨坐咖啡廳,窗外沒有下起雨,有沒有人在乎我
錢包放哪裡 天開始下雨,青春的溫度,隨太陽升起 每朵思念情緒,花火的殘燼憤怒依舊,毒蛇一般的嘴,關於我們該怎麼做 誰置喙太深,麈封日記 歪斜筆跡,而你已不回頭 你已不回頭,賴床再一個鐘頭,一陣秋風竄進了被窩,不懂愛情的傻瓜,我走得顛簸卻自由,世界必然有黑暗 一定也有光明存在,貓咪說：再不起床會變胖,頭頂掛著燈籠 亮晶晶,外套和日記 手錶或眼鏡,笑得再五光十色,他背起行囊 裝進天真理想,卻無人回應,破吉他在一邊 鑲的珠貝像從前耀眼,你是怎麼了 不想再說對不起了,霓虹燈造的夜色 鮮豔得很冰冷,再告訴你個秘密,遊走城市邊界 遍尋不著一個擁抱 溫柔以對,怎麼所愛的人 都不知去向,別忘了 在你最孤單的時候 有我在這,不是為誰 只為自己加油,遊走城市邊界 遍尋不著一個擁抱 溫柔以對,我沒有忘記何謂互相,我沒有忘記何謂互相,雨滴一點一滴 眼淚一點一滴,有些話 不必用言語表達,屏住呼吸 我們小心翼翼,再強揹都是累贅,高樓天際線 尖銳地割開夕陽的窗簾,不是因為剛好沒有別的事,你留給我的情話 依然滾燙,想像著你 是否也曾在此寫下詩句,也沒有陽光和他的消息,當我用盡力氣去做
雨傘迷路在剛剛的捷運,心跳聲音,帶著漂浮的自己 幻想牽著你,哀哉地控訴竊取時間的小偷,爭相嚼食著早顛倒的是非,究竟是玩火自焚 還是開創者,十七歲的秘密計算著我們的距離,我為何還原地守候,讓疲憊像塵?一樣一掃而空,又閉上眼睛,有沒有什麼好方法,手心緊握不放鬆 是抓住希望或傷痛,我是這樣相信著,於是起身推開窗,我要用黑魔法把你變成一隻魚,裝載你的氣息和我的回憶,好不獨特空有對翅膀又如何,手中的地圖沒標示方向,忘記了呼吸 直到誰的溫熱把我喚醒,它從沒改變 從沒改變,沒做錯什麼可愛又認真 到底哪裡惹到你了,誰都無法取代你擁抱的體溫,少了你擁有世界也不算什麼,努力勉強的笑臉 越傷痕累累,怎麼重要的回憶 都不見啦,我願意當你的話筒,做過些比宇宙大的夢,努力勉強的笑臉 越傷痕累累,只是習慣在擁抱之前多些觀察,只是習慣在擁抱之前多些觀察,沖走了你微笑的表情,一個微笑就是最好解答,擺放天平上完美劑量的濃郁,怎麼結束一個支離破碎的夏天,卻透不進光線,才一直一直一直,夜裡喔嗚喔喔喔 耶耶咿耶耶,用什麼詞彙描述我和你,安靜的巢裡 笑容銷聲匿跡,想像中完美那個我
手機電量紅色警訊,初戀風景 ,在每個夏季,灰佔據了眼底 抬頭不見星,噴射酸性毒液 對慾望狼吞虎嚥,誰也說不準,解不開的難題 原來是你,在每個午夜的夢 複習著你溫柔,今天星期六 Why I feel so alone,自己說原諒那些我們錯過的事,讓幼稚的你能長大,能再相信嗎 能再相信嗎,你說你也想要很好 但總是擔心做不到,想不起昨天陽光耀眼,圓的扁的胖的都可以,獨處的房間裡 我側耳傾聽,溫室裡的玫瑰,只有與生俱來的渴望,指引卻無法觸及,作文紙上 我的志願 什麼時候變成樁天大謊言,吃了炸藥 就待在家好好休息,我們好像 都是那種不能寂寞的人,So baby just go chilling with my body,再勇敢一點 潰堤的淚水 不代表妥協,寂寞的大孩子 踏著時間的海浪,只要你肯對我說,以為能把世界舉在肩頭,再勇敢一點 潰堤的淚水 不代表妥協,什麼是真的 什麼是假的,什麼是真的 什麼是假的,一連下了好幾星期的雨,"Hey, my dear star",我不是太擅長不著邊際的遊戲,珍貴的都已不見,有沒有一座花園 很美,在腦海裡複習,你留給我的美麗 無以名狀,等待月光為你鋪設路徑,我輕輕捧起貝殼,我沒那麼成熟
等不到他回我的訊息,關於你的回憶,我會是你特別佳賓,執迷推遲善意 萬籟皆俱寂,瞳孔辨不清真偽 被濾鏡瞎了雙眼,時代的巨輪 不停轉著 轉著,明明曾經靠近 我卻自作聰明,夜色已漸濃 我隻身穿梭迷霧中,都已經過十二點鐘 電話還沒通,心隨著時間滴答在漂流,把冰塊融化 把木頭變太陽,一定會的 我對自己這麼說,想狩獵驕傲和榮耀 卻害怕搆不著目標,今天的雨突然下得瘋癲,再送你一顆深海大鳳梨當玩具,以為是你聲音,再鮮豔不過調色盤上一滴血,沒想過投降 混蛋一樣地闖,那絕對的距離 投射光芒的你,夢有保存期限 生活不能刷卡就只能付現,如果更年期...... (你討厭我我更討厭你醜八怪),不能沒說晚安就做好夢的人,Let music be amazing,別讓自卑淹沒 你所有的視線,潮起潮落 淘走珍藏的時光,怎麼了 難道我們就只是個 普通朋友,狠摔了跟斗,別讓自卑淹沒 你所有的視線,什麼是對 什麼是錯,什麼是對 什麼是錯,發霉的房間裡開出一片寬廣森林,有時候也許感到徬徨,卻因你沉溺,你都已不見,光臘樹盛開鮮豔,擁抱你 什麼角度最合適,底片裡的我們活像夏卡爾的畫,讓我看看你那一雙 最愛笑的眼睛,再聽不到那年海的聲音,偶爾也會手足無措
暈船暈到南極 心變得冷冰冰,無法被代替,設計每一場 驚喜,末日醒悟人性 失明才看清,加塊變色鏡片 醜陋想法難道就變美,都什麼時候了,推不出的邏輯 為何是你,探尋你消失的行蹤,心裡有我還沒我,看著不同的生活裡,你什麼都好 但就是有個地方,一定會的 曙光驅散那灰濛的天空,生命必然有挫折 一定也有美好發生,我說：哎 這不就是台北,魚 你在我的腦海裡游來游去,卻是窗外微風 吹動的風鈴,演著孤芳自賞自艾自憐,受了傷還不停下 人們笑愚者多傻,我獨自盤旋在看得見你的軌道,能不再給我幾天 也許就一首歌的時間,被你討厭也沒關係 反正我也不是生來討你開心,沉默的月亮看著 睡不著也醒不來的,現在只想你聽我說,倔強跨越那些不完美,行囊輕盈啦 準備前往下個地方,You call me when you need,才知道自己從來不是英雄,倔強跨越那些不完美,長大後的我們 什麼都不知道了,長大後的我們 什麼都不知道了,你在樹下休息 偶爾翻閱些回憶,我知道 花花世界太複雜,平衡木上的愛情,我無從找起愛過你的理由,霧霾中睜開雙眼 卻看見,其實我 常會想像我們老了的樣子,你留給我的憂傷 只能吟唱,城市風景 又在你身上鑿刻什麼痕跡,我終究 不是他的天空,渴望自由卻一直閃躲
連行人都用眼神表達同情,不成熟的曾經,緊緊擁抱 你每段回憶,白晝將盡 破壞才有生機,道貌岸然的臉,醒著等待不如夢遊著往前 狂奔,深藏抽屜裡寫滿我遺憾的筆記,閃爍的路燈 不斷警告著我,好天氣竟然讓我一個人放空,找尋共同的記憶,特別讓人牙癢癢,一定會的 蔚藍之下盛開彩色的夢,何不努力讓渴望成真,啦啦啦啦啦啦 你就下吧,魚 察覺不到我溶化在水裡,嘲笑著我心又漾起漣漪,再精彩不過是類似你的左邊右邊,但不在乎終點模樣 才能開始得漂亮,仰望著你一圈再一圈的圍繞,和我同病相憐 同病相憐,我就要做自己 麻煩你滾一邊去,我 我們 需要彼此的我們,讓我成為你的Bling Bling,再坦然一些 白晝或黑夜 都值得紀念,只是身邊的人 你怎麼哭啦,For you l’m always free,不願生命 成一部悲劇小說,再坦然一些 白晝或黑夜 都值得紀念,我是來自天真世界的一名叛徒,我是來自天真世界的一名叛徒,偶爾只靜靜等待著雨停,我願意陪著你一起去闖,你左搖我右晃暈眩的香氣,預設的美好卻成失蹤人口,城市燈火炙烈,左邊牽著手 右手拉小狗,成了喔嗚喔喔喔 耶耶咿耶耶,是我未能參與,當他渴望湛藍和雲朵,害怕只能繼續做夢
Today only 這運氣今日限定,失去才懂珍惜,只要別懷疑 默數著 每次 你的呼吸,切莫溫馴地步入良夜,包藏的禍心卻隱隱在作祟,用力推開那一扇門,你的身影 遙不可及,別再深究 你離去的理由,"Oh my Saturday,",試著學會再相信愛情,要曖昧多久 才能讓你的心也不再流浪,寬容 你眼中不夠成熟的我,勇氣是唯一的方舟,你可以帶走憂傷,我是優雅的空氣,墜入時間漩渦裡,還不如當隻撲火的蝶,在每一個今天的笑容中醒來,我不能靠近 卻也不願遠離,騎士墜鬼馬 你要帶我飛向何方,你越討厭我越開心 被你這種人喜歡我才要擔心,再也不能寂寞了 自從愛介入我們,"Be my girl, cuz I love u and u know know know",去細數故事裡 無論甜美心碎,寂寞的大孩子啊,Looking forward to somebody,就算要我 屢敗屢戰得像個小丑,去細數故事裡 無論甜美心碎,誰會告訴我這是正確的路,誰會告訴我這是正確的路,讓我陪著你在這雨中旅行,親愛的你,往後一步曖昧卻和諧的距離,你沉默往黑夜逃走 懦弱過了頭,看我往前飛 看我一角劈開夏天,可能還有很多小孩子,誰的輕狂 在炎夏無處安放,你說我們已習慣這樣的距離,迎著風 揮動了翅膀去擁有遼闊,直到
大口深呼吸,時間磨去我們的鋒利,我和甜蜜 就會慢慢靠近你 靠近你,焰影裡翩翩起舞的人啊,過份扭曲的世界 誰來按下重啟鍵,橫衝直撞那又如何,偶爾的關心 多溫柔卻銳利,我反芻著你留下的寂寞,it's not the Saturday of yours,忘記了什麼時候,我一直在想 有沒有什麼好方法,執意把勇氣揮霍 才感到光榮,裝載音樂 充填笑容,你不能帶走我的倔強,啊 啊 如果你變成了魚,看著你 不必多說什麼也會微笑,他們都說你錯了 你不該撲火的,跨過昨日眼淚匯集的港灣,習慣在你影子裡遊戲我的孤寂,海市蜃樓還是香格里拉,我是不是和你 一樣頭殼有問題,也許時空暫時區隔 想念牽引著每個時刻,又比鬧鐘早起 又不想梳妝整理,傷口也能開出燦爛的玫瑰,他的掌紋曾是誰安睡的星空啊,Who treat you like a queen,我還沒有作好被打倒的準備,傷口也能開出燦爛的玫瑰,隱藏你的笑 你的哭,隱藏你的笑 你的哭,有時壞天氣沒有什麼原因,你是道獨一無二的星光,往前一步心就貼緊,逆轉的時鐘蒸發你的下落,劈開了 水泥和鋼鐵,其實我 不是因為好天氣才這麼說,誰的年華 又不甘孤芳自賞,習慣了用問候包裝求救,他終究 是場太美的夢,那天你來到我的天空
